canonical_name,price_bucket,sample_count,avg_mat_unit_price,avg_labor_unit_price,avg_exp_unit_price,mat_ratio,labor_ratio,exp_ratio,source_files
바탕조정제부분미장,34000-34999,2,0.0,0.0,0.0,0,0,0,"100평~200평 미만 복합_34,000원(0.5mm당 2000원).xlsx,50평~100평 미만 우레탄_34,000원.xlsx"
바탕조정제부분미장,35000-35999,3,0.0,0.0,0.0,0,0,0,"100평~200평 미만 복합_35,000원(0.5mm당 2000원).xlsx,50평 미만 우레탄_35,000원.xlsx,50평~100평 미만 우레탄_35,000원.xlsx"
바탕조정제부분미장,36000-36999,3,0.0,0.0,0.0,0,0,0,"50평 미만 우레탄_36,000원.xlsx,50평~100평 미만 복합_36,000원.xlsx,50평~100평 미만 우레탄_36,000원.xlsx"
바탕조정제부분미장,37000-37999,3,0.0,0.0,0.0,0,0,0,"50평 미만 우레탄_37,000원.xlsx,50평~100평 미만 복합_37,000원.xlsx,50평~100평 미만 우레탄_37,000원.xlsx"
바탕조정제부분미장,38000-38999,2,0.0,0.0,0.0,0,0,0,"50평 미만 복합_38,000원.xlsx,50평~100평 미만 복합_38,000원.xlsx"
바탕조정제부분미장,39000-39999,2,0.0,0.0,0.0,0,0,0,"50평 미만 복합_39,000원.xlsx,50평~100평 미만 복합_39,000원.xlsx"
바탕조정제부분미장,40000-40999,2,0.0,0.0,0.0,0,0,0,"50평 미만 복합_40,000원.xlsx,50평~100평 미만 복합_40,000원.xlsx"
바탕조정제부분미장,41000-41999,2,0.0,0.0,0.0,0,0,0,"50평 미만 복합_41,000원.xlsx,50평~100평 미만 복합_41,000원.xlsx"
바탕조정제부분미장,42000-42999,2,0.0,0.0,0.0,0,0,0,"50평 미만 복합_42,000원.xlsx,50평~100평 미만 복합_42,000원.xlsx"
바탕조정제부분미장,43000-43999,1,0.0,0.0,0.0,0,0,0,"50평 미만 복합_43,000원.xlsx"
바탕조정제부분미장,44000-44999,1,0.0,0.0,0.0,0,0,0,"50평 미만 복합_44,000원.xlsx"
바탕조정제부분미장,48000-48999,1,0.0,0.0,0.0,0,0,0,"20평 이하 소형평수_48,000원.xlsx"
바탕조정제부분미장,50000-50999,1,0.0,0.0,0.0,0,0,0,"20평 이하 소형평수_50,000원.xlsx"
벽체우레탄,23000-23999,1,4000.0,4500.0,0.0,47.1,52.9,0.0,"200평 이상 미만 우레탄_23,000원(0.5mm당 1500원).xlsx"
벽체우레탄,24000-24999,1,4000.0,4500.0,0.0,47.1,52.9,0.0,"200평 이상 미만 우레탄_24,000원(0.5mm당 1500원).xlsx"
